START 2026-09-23T23:24:37Z until [ -f ckpts/dsc/stage1_a1_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a1_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a1_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 1 done, 13s/thm, ETA 66 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 1237) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 2 done, 10s/thm, ETA 47 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 18) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 3 done, 8s/thm, ETA 40 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 1758) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 4 done, 7s/thm, ETA 37 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1576) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 5 done, 7s/thm, ETA 36 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 77) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 6 done, 7s/thm, ETA 35 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 810) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 7 done, 7s/thm, ETA 34 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 1429) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 8 done, 7s/thm, ETA 35 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 29) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 9 done, 7s/thm, ETA 35 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 730) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 10 done, 7s/thm, ETA 34 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 39) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 11 done, 7s/thm, ETA 34 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 243) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 12 done, 7s/thm, ETA 34 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 284) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 13 done, 7s/thm, ETA 34 min)
targets_reductio_req_13: n_ok 5/2000 (nd-only 0, parse-fail 98) distinct_ok 1 first_hit 204 written_hist {7: 1} lean 0s (7s; 14 done, 7s/thm, ETA 34 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 563) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 15 done, 7s/thm, ETA 34 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 355) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 7s/thm, ETA 33 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 102) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 17 done, 7s/thm, ETA 34 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 151) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 18 done, 7s/thm, ETA 34 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 52) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 19 done, 7s/thm, ETA 33 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 1419) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 20 done, 7s/thm, ETA 33 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 1278) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 21 done, 7s/thm, ETA 32 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 900) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 22 done, 7s/thm, ETA 32 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1087) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 23 done, 7s/thm, ETA 31 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 543) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 24 done, 7s/thm, ETA 31 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 331) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 7s/thm, ETA 31 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 126) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 26 done, 7s/thm, ETA 31 min)
targets_reductio_req_26: n_ok 0/2000 (nd-only 0, parse-fail 217) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 27 done, 7s/thm, ETA 30 min)
targets_reductio_req_27: n_ok 0/2000 (nd-only 0, parse-fail 722) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 28 done, 7s/thm, ETA 30 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 1551) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 29 done, 7s/thm, ETA 31 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 30 done, 7s/thm, ETA 31 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 1257) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 31 done, 7s/thm, ETA 31 min)
targets_reductio_req_31: n_ok 1/2000 (nd-only 0, parse-fail 73) distinct_ok 1 first_hit 612 written_hist {7: 1} lean 0s (8s; 32 done, 7s/thm, ETA 31 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 448) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 33 done, 7s/thm, ETA 31 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 1003) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 34 done, 7s/thm, ETA 31 min)
targets_reductio_req_34: n_ok 0/2000 (nd-only 0, parse-fail 1686) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 35 done, 7s/thm, ETA 31 min)
targets_reductio_req_35: n_ok 0/2000 (nd-only 0, parse-fail 226) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 36 done, 7s/thm, ETA 31 min)
targets_reductio_req_36: n_ok 0/2000 (nd-only 0, parse-fail 74) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 37 done, 7s/thm, ETA 31 min)
targets_reductio_req_37: n_ok 0/2000 (nd-only 0, parse-fail 53) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 38 done, 7s/thm, ETA 31 min)
targets_reductio_req_38: n_ok 0/2000 (nd-only 0, parse-fail 349) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 39 done, 7s/thm, ETA 31 min)
targets_reductio_req_39: n_ok 0/2000 (nd-only 0, parse-fail 1106) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 40 done, 7s/thm, ETA 31 min)
targets_reductio_req_40: n_ok 0/2000 (nd-only 0, parse-fail 345) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 41 done, 7s/thm, ETA 31 min)
targets_reductio_req_41: n_ok 0/2000 (nd-only 0, parse-fail 812) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 42 done, 7s/thm, ETA 31 min)
targets_reductio_req_42: n_ok 0/2000 (nd-only 0, parse-fail 46) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 43 done, 7s/thm, ETA 31 min)
targets_reductio_req_43: n_ok 0/2000 (nd-only 0, parse-fail 1697) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 44 done, 7s/thm, ETA 31 min)
targets_reductio_req_44: n_ok 0/2000 (nd-only 0, parse-fail 1067) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 45 done, 7s/thm, ETA 31 min)
targets_reductio_req_45: n_ok 0/2000 (nd-only 0, parse-fail 51) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 46 done, 7s/thm, ETA 31 min)
targets_reductio_req_46: n_ok 0/2000 (nd-only 0, parse-fail 39) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 47 done, 7s/thm, ETA 31 min)
targets_reductio_req_47: n_ok 0/2000 (nd-only 0, parse-fail 48) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 48 done, 7s/thm, ETA 31 min)
targets_reductio_req_48: n_ok 0/2000 (nd-only 0, parse-fail 538) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 49 done, 7s/thm, ETA 31 min)
targets_reductio_req_49: n_ok 0/2000 (nd-only 0, parse-fail 874) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 50 done, 7s/thm, ETA 31 min)
targets_reductio_req_50: n_ok 0/2000 (nd-only 0, parse-fail 759) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 51 done, 7s/thm, ETA 31 min)
targets_reductio_req_51: n_ok 0/2000 (nd-only 0, parse-fail 612) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 52 done, 8s/thm, ETA 31 min)
targets_reductio_req_52: n_ok 0/2000 (nd-only 0, parse-fail 233) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 53 done, 8s/thm, ETA 31 min)
targets_reductio_req_53: n_ok 0/2000 (nd-only 0, parse-fail 37) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 54 done, 8s/thm, ETA 31 min)
targets_reductio_req_54: n_ok 0/2000 (nd-only 0, parse-fail 5) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 55 done, 8s/thm, ETA 31 min)
targets_reductio_req_55: n_ok 0/2000 (nd-only 0, parse-fail 63) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 56 done, 8s/thm, ETA 31 min)
targets_reductio_req_56: n_ok 0/2000 (nd-only 0, parse-fail 249) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 57 done, 8s/thm, ETA 31 min)
targets_reductio_req_57: n_ok 0/2000 (nd-only 0, parse-fail 29) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 58 done, 8s/thm, ETA 31 min)
targets_reductio_req_58: n_ok 0/2000 (nd-only 0, parse-fail 464) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 59 done, 8s/thm, ETA 30 min)
targets_reductio_req_59: n_ok 0/2000 (nd-only 0, parse-fail 211) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 60 done, 8s/thm, ETA 30 min)
targets_reductio_req_60: n_ok 0/2000 (nd-only 0, parse-fail 180) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 61 done, 8s/thm, ETA 30 min)
targets_reductio_req_61: n_ok 0/2000 (nd-only 0, parse-fail 258) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 62 done, 8s/thm, ETA 30 min)
targets_reductio_req_62: n_ok 0/2000 (nd-only 0, parse-fail 756) distinct_ok 0 first_hit None written_hist {} lean 0s (33s; 63 done, 8s/thm, ETA 32 min)
targets_reductio_req_63: n_ok 0/2000 (nd-only 0, parse-fail 839) distinct_ok 0 first_hit None written_hist {} lean 0s (30s; 64 done, 8s/thm, ETA 33 min)
targets_reductio_req_64: n_ok 0/2000 (nd-only 0, parse-fail 794) distinct_ok 0 first_hit None written_hist {} lean 0s (28s; 65 done, 9s/thm, ETA 34 min)
targets_reductio_req_65: n_ok 0/2000 (nd-only 0, parse-fail 121) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 66 done, 9s/thm, ETA 35 min)
targets_reductio_req_66: n_ok 0/2000 (nd-only 0, parse-fail 155) distinct_ok 0 first_hit None written_hist {} lean 0s (28s; 67 done, 9s/thm, ETA 36 min)
targets_reductio_req_67: n_ok 0/2000 (nd-only 0, parse-fail 158) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 68 done, 9s/thm, ETA 36 min)
targets_reductio_req_68: n_ok 0/2000 (nd-only 0, parse-fail 489) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 69 done, 10s/thm, ETA 37 min)
targets_reductio_req_69: n_ok 0/2000 (nd-only 0, parse-fail 40) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 70 done, 10s/thm, ETA 37 min)
targets_reductio_req_70: n_ok 0/2000 (nd-only 0, parse-fail 657) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 71 done, 10s/thm, ETA 37 min)
targets_reductio_req_71: n_ok 0/2000 (nd-only 0, parse-fail 545) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 72 done, 10s/thm, ETA 38 min)
targets_reductio_req_72: n_ok 0/2000 (nd-only 0, parse-fail 46) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 73 done, 10s/thm, ETA 37 min)
targets_reductio_req_73: n_ok 0/2000 (nd-only 0, parse-fail 132) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 74 done, 10s/thm, ETA 37 min)
targets_reductio_req_74: n_ok 0/2000 (nd-only 0, parse-fail 700) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 75 done, 10s/thm, ETA 37 min)
targets_reductio_req_75: n_ok 0/2000 (nd-only 0, parse-fail 5) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 76 done, 10s/thm, ETA 37 min)
targets_reductio_req_76: n_ok 0/2000 (nd-only 0, parse-fail 1010) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 77 done, 10s/thm, ETA 38 min)
targets_reductio_req_77: n_ok 0/2000 (nd-only 0, parse-fail 1956) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 78 done, 10s/thm, ETA 38 min)
targets_reductio_req_78: n_ok 0/2000 (nd-only 0, parse-fail 24) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 79 done, 10s/thm, ETA 38 min)
targets_reductio_req_79: n_ok 0/2000 (nd-only 0, parse-fail 285) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 80 done, 10s/thm, ETA 38 min)
targets_reductio_req_80: n_ok 0/2000 (nd-only 0, parse-fail 986) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 81 done, 10s/thm, ETA 38 min)
targets_reductio_req_81: n_ok 0/2000 (nd-only 0, parse-fail 301) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 82 done, 10s/thm, ETA 38 min)
targets_reductio_req_82: n_ok 0/2000 (nd-only 0, parse-fail 436) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 83 done, 11s/thm, ETA 38 min)
targets_reductio_req_83: n_ok 0/2000 (nd-only 0, parse-fail 182) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 84 done, 11s/thm, ETA 38 min)
targets_reductio_req_84: n_ok 0/2000 (nd-only 0, parse-fail 1332) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 85 done, 11s/thm, ETA 38 min)
targets_reductio_req_85: n_ok 60/2000 (nd-only 0, parse-fail 29) distinct_ok 1 first_hit 88 written_hist {7: 1} lean 3s (20s; 86 done, 11s/thm, ETA 39 min)
targets_reductio_req_86: n_ok 329/2000 (nd-only 0, parse-fail 48) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 4s (22s; 87 done, 11s/thm, ETA 39 min)
targets_reductio_req_87: n_ok 0/2000 (nd-only 0, parse-fail 12) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 88 done, 11s/thm, ETA 39 min)
targets_reductio_req_88: n_ok 0/2000 (nd-only 0, parse-fail 691) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 89 done, 11s/thm, ETA 39 min)
targets_reductio_req_89: n_ok 0/2000 (nd-only 0, parse-fail 860) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 90 done, 11s/thm, ETA 39 min)
targets_reductio_req_90: n_ok 0/2000 (nd-only 0, parse-fail 254) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 91 done, 11s/thm, ETA 38 min)
targets_reductio_req_91: n_ok 0/2000 (nd-only 0, parse-fail 630) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 92 done, 11s/thm, ETA 38 min)
targets_reductio_req_92: n_ok 0/2000 (nd-only 0, parse-fail 362) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 93 done, 11s/thm, ETA 38 min)
targets_reductio_req_93: n_ok 0/2000 (nd-only 0, parse-fail 1036) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 94 done, 11s/thm, ETA 37 min)
targets_reductio_req_94: n_ok 0/2000 (nd-only 0, parse-fail 1381) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 95 done, 11s/thm, ETA 37 min)
targets_reductio_req_95: n_ok 0/2000 (nd-only 0, parse-fail 379) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 96 done, 11s/thm, ETA 37 min)
targets_reductio_req_96: n_ok 0/2000 (nd-only 0, parse-fail 191) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 97 done, 11s/thm, ETA 37 min)
targets_reductio_req_97: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 98 done, 11s/thm, ETA 36 min)
targets_reductio_req_98: n_ok 0/2000 (nd-only 0, parse-fail 644) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 99 done, 11s/thm, ETA 36 min)
targets_reductio_req_99: n_ok 0/2000 (nd-only 0, parse-fail 530) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 100 done, 11s/thm, ETA 36 min)
targets_reductio_req_100: n_ok 0/2000 (nd-only 0, parse-fail 1866) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 101 done, 11s/thm, ETA 35 min)
targets_reductio_req_101: n_ok 0/2000 (nd-only 0, parse-fail 211) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 102 done, 11s/thm, ETA 35 min)
targets_reductio_req_102: n_ok 0/2000 (nd-only 0, parse-fail 1196) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 103 done, 11s/thm, ETA 35 min)
targets_reductio_req_103: n_ok 0/2000 (nd-only 0, parse-fail 1746) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 104 done, 11s/thm, ETA 34 min)
targets_reductio_req_104: n_ok 0/2000 (nd-only 0, parse-fail 46) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 105 done, 10s/thm, ETA 34 min)
targets_reductio_req_105: n_ok 1/2000 (nd-only 0, parse-fail 15) distinct_ok 1 first_hit 1180 written_hist {7: 1} lean 0s (6s; 106 done, 10s/thm, ETA 34 min)
targets_reductio_req_106: n_ok 0/2000 (nd-only 0, parse-fail 1397) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 107 done, 10s/thm, ETA 34 min)
targets_reductio_req_107: n_ok 8/2000 (nd-only 0, parse-fail 40) distinct_ok 1 first_hit 81 written_hist {7: 1} lean 0s (7s; 108 done, 10s/thm, ETA 33 min)
targets_reductio_req_108: n_ok 0/2000 (nd-only 0, parse-fail 752) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 109 done, 10s/thm, ETA 33 min)
targets_reductio_req_109: n_ok 0/2000 (nd-only 0, parse-fail 764) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 110 done, 10s/thm, ETA 33 min)
targets_reductio_req_110: n_ok 0/2000 (nd-only 0, parse-fail 870) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 111 done, 10s/thm, ETA 33 min)
targets_reductio_req_111: n_ok 0/2000 (nd-only 0, parse-fail 68) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 112 done, 10s/thm, ETA 32 min)
targets_reductio_req_112: n_ok 0/2000 (nd-only 0, parse-fail 42) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 113 done, 10s/thm, ETA 32 min)
targets_reductio_req_113: n_ok 0/2000 (nd-only 0, parse-fail 835) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 114 done, 10s/thm, ETA 32 min)
