START 2026-09-23T23:43:45Z until [ -f ckpts/dsc/stage1_a2_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a2_s0.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a2_s0_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 0/2000 (nd-only 0, parse-fail 1898) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 1 done, 12s/thm, ETA 50 min)
targets_depth3_14: n_ok 1387/2000 (nd-only 0, parse-fail 408) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (8s; 2 done, 10s/thm, ETA 42 min)
targets_depth3_16: n_ok 0/2000 (nd-only 0, parse-fail 1988) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 3 done, 10s/thm, ETA 42 min)
targets_depth3_22: n_ok 300/2000 (nd-only 0, parse-fail 1663) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (13s; 4 done, 11s/thm, ETA 45 min)
targets_depth3_23: n_ok 7/2000 (nd-only 0, parse-fail 1831) distinct_ok 1 first_hit 31 written_hist {7: 1} lean 1s (14s; 5 done, 12s/thm, ETA 47 min)
targets_depth3_27: n_ok 1/2000 (nd-only 0, parse-fail 1999) distinct_ok 1 first_hit 960 written_hist {7: 1} lean 2s (20s; 6 done, 13s/thm, ETA 53 min)
targets_depth3_33: n_ok 1299/2000 (nd-only 0, parse-fail 279) distinct_ok 4 first_hit 3 written_hist {7: 4} lean 2s (13s; 7 done, 13s/thm, ETA 53 min)
targets_depth3_37: n_ok 0/2000 (nd-only 0, parse-fail 25) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 8 done, 12s/thm, ETA 50 min)
targets_depth3_39: n_ok 0/2000 (nd-only 0, parse-fail 87) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 9 done, 12s/thm, ETA 50 min)
targets_depth3_40: n_ok 0/2000 (nd-only 0, parse-fail 1957) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 10 done, 13s/thm, ETA 50 min)
targets_depth3_41: n_ok 7/2000 (nd-only 0, parse-fail 1991) distinct_ok 1 first_hit 123 written_hist {7: 1} lean 1s (17s; 11 done, 13s/thm, ETA 52 min)
targets_depth3_46: n_ok 8/2000 (nd-only 0, parse-fail 1973) distinct_ok 1 first_hit 241 written_hist {7: 1} lean 1s (13s; 12 done, 13s/thm, ETA 51 min)
targets_depth3_62: n_ok 0/2000 (nd-only 0, parse-fail 1959) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 13 done, 13s/thm, ETA 52 min)
targets_depth3_63: n_ok 0/2000 (nd-only 0, parse-fail 172) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 14 done, 13s/thm, ETA 50 min)
targets_depth3_64: n_ok 25/2000 (nd-only 0, parse-fail 647) distinct_ok 1 first_hit 55 written_hist {7: 1} lean 0s (8s; 15 done, 12s/thm, ETA 48 min)
targets_depth3_70: n_ok 48/2000 (nd-only 0, parse-fail 1918) distinct_ok 1 first_hit 31 written_hist {7: 1} lean 0s (8s; 16 done, 12s/thm, ETA 47 min)
targets_depth3_71: n_ok 2/2000 (nd-only 0, parse-fail 1997) distinct_ok 1 first_hit 479 written_hist {7: 1} lean 0s (8s; 17 done, 12s/thm, ETA 46 min)
targets_depth3_73: n_ok 211/2000 (nd-only 0, parse-fail 1768) distinct_ok 1 first_hit 9 written_hist {7: 1} lean 0s (10s; 18 done, 12s/thm, ETA 45 min)
targets_depth3_75: n_ok 6/2000 (nd-only 0, parse-fail 1713) distinct_ok 1 first_hit 126 written_hist {7: 1} lean 0s (9s; 19 done, 12s/thm, ETA 45 min)
targets_depth3_82: n_ok 3/2000 (nd-only 0, parse-fail 1881) distinct_ok 1 first_hit 1031 written_hist {7: 1} lean 0s (10s; 20 done, 12s/thm, ETA 44 min)
