START 2026-09-23T23:27:25Z until [ -f ckpts/dsc/stage1_a4_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a4_s0.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a4_s0_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 0/2000 (nd-only 0, parse-fail 77) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 1 done, 5s/thm, ETA 24 min)
d3req_1: n_ok 3/2000 (nd-only 0, parse-fail 1951) distinct_ok 2 first_hit 851 written_hist {8: 2} lean 0s (5s; 2 done, 5s/thm, ETA 26 min)
d3req_2: n_ok 0/2000 (nd-only 0, parse-fail 2) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 3 done, 5s/thm, ETA 26 min)
d3req_3: n_ok 80/2000 (nd-only 0, parse-fail 1772) distinct_ok 1 first_hit 15 written_hist {8: 1} lean 0s (7s; 4 done, 6s/thm, ETA 28 min)
d3req_4: n_ok 1/2000 (nd-only 0, parse-fail 1994) distinct_ok 1 first_hit 458 written_hist {8: 1} lean 1s (11s; 5 done, 7s/thm, ETA 33 min)
d3req_5: n_ok 1/2000 (nd-only 0, parse-fail 288) distinct_ok 1 first_hit 457 written_hist {8: 1} lean 0s (6s; 6 done, 7s/thm, ETA 32 min)
d3req_6: n_ok 2/2000 (nd-only 0, parse-fail 28) distinct_ok 1 first_hit 604 written_hist {8: 1} lean 0s (8s; 7 done, 7s/thm, ETA 33 min)
d3req_7: n_ok 1/2000 (nd-only 0, parse-fail 1975) distinct_ok 1 first_hit 58 written_hist {8: 1} lean 0s (13s; 8 done, 8s/thm, ETA 37 min)
d3req_8: n_ok 6/2000 (nd-only 0, parse-fail 1915) distinct_ok 1 first_hit 985 written_hist {8: 1} lean 0s (14s; 9 done, 8s/thm, ETA 40 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1508) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 10 done, 9s/thm, ETA 42 min)
d3req_10: n_ok 44/2000 (nd-only 0, parse-fail 1880) distinct_ok 2 first_hit 142 written_hist {8: 2} lean 0s (13s; 11 done, 9s/thm, ETA 44 min)
d3req_11: n_ok 0/2000 (nd-only 0, parse-fail 1991) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 12 done, 10s/thm, ETA 46 min)
