START 2026-09-24T00:08:06Z until [ -f ckpts/lf/stage1_a1_seq_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/lf/stage1_a1_seq_s0.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_c0_s0_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 110/2000 (nd-only 0, parse-fail 1649) distinct_ok 1 first_hit 27 written_hist {7: 1} lean 3s (35s; 1 done, 35s/thm, ETA 146 min)
targets_depth3_14: n_ok 763/2000 (nd-only 0, parse-fail 646) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 3s (24s; 2 done, 29s/thm, ETA 122 min)
targets_depth3_16: n_ok 14/2000 (nd-only 0, parse-fail 1972) distinct_ok 1 first_hit 148 written_hist {7: 1} lean 2s (27s; 3 done, 29s/thm, ETA 117 min)
targets_depth3_22: n_ok 8/2000 (nd-only 0, parse-fail 1984) distinct_ok 1 first_hit 278 written_hist {8: 1} lean 2s (24s; 4 done, 27s/thm, ETA 113 min)
targets_depth3_23: n_ok 7/2000 (nd-only 0, parse-fail 1610) distinct_ok 1 first_hit 218 written_hist {7: 1} lean 3s (23s; 5 done, 27s/thm, ETA 109 min)
targets_depth3_27: n_ok 13/2000 (nd-only 0, parse-fail 1987) distinct_ok 1 first_hit 183 written_hist {7: 1} lean 4s (27s; 6 done, 27s/thm, ETA 108 min)
targets_depth3_33: n_ok 42/2000 (nd-only 0, parse-fail 1913) distinct_ok 3 first_hit 32 written_hist {7: 3} lean 0s (12s; 7 done, 25s/thm, ETA 99 min)
targets_depth3_37: n_ok 0/2000 (nd-only 0, parse-fail 6) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 8 done, 22s/thm, ETA 89 min)
targets_depth3_39: n_ok 88/2000 (nd-only 0, parse-fail 1369) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (8s; 9 done, 21s/thm, ETA 83 min)
targets_depth3_40: n_ok 1/2000 (nd-only 0, parse-fail 1999) distinct_ok 1 first_hit 1945 written_hist {7: 1} lean 0s (8s; 10 done, 19s/thm, ETA 78 min)
targets_depth3_41: n_ok 2/2000 (nd-only 0, parse-fail 280) distinct_ok 1 first_hit 711 written_hist {7: 1} lean 0s (9s; 11 done, 18s/thm, ETA 74 min)
targets_depth3_46: n_ok 0/2000 (nd-only 0, parse-fail 1621) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 12 done, 18s/thm, ETA 70 min)
targets_depth3_62: n_ok 13/2000 (nd-only 0, parse-fail 96) distinct_ok 1 first_hit 17 written_hist {7: 1} lean 0s (11s; 13 done, 17s/thm, ETA 68 min)
targets_depth3_63: n_ok 31/2000 (nd-only 0, parse-fail 1925) distinct_ok 1 first_hit 59 written_hist {7: 1} lean 0s (11s; 14 done, 17s/thm, ETA 66 min)
targets_depth3_64: n_ok 337/2000 (nd-only 0, parse-fail 1283) distinct_ok 1 first_hit 9 written_hist {7: 1} lean 0s (8s; 15 done, 16s/thm, ETA 63 min)
targets_depth3_70: n_ok 0/2000 (nd-only 0, parse-fail 1979) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 16 done, 16s/thm, ETA 61 min)
targets_depth3_71: n_ok 8/2000 (nd-only 0, parse-fail 1986) distinct_ok 1 first_hit 479 written_hist {7: 1} lean 0s (11s; 17 done, 15s/thm, ETA 60 min)
targets_depth3_73: n_ok 2/2000 (nd-only 0, parse-fail 1788) distinct_ok 1 first_hit 1658 written_hist {7: 1} lean 3s (18s; 18 done, 16s/thm, ETA 60 min)
targets_depth3_75: n_ok 5/2000 (nd-only 0, parse-fail 1935) distinct_ok 1 first_hit 337 written_hist {7: 1} lean 3s (19s; 19 done, 16s/thm, ETA 61 min)
