START 2026-09-23T23:27:17Z until [ -f ckpts/lf/stage1_a1_seq_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/lf/stage1_a1_seq_s1.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_c0_s1_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 0/2000 (nd-only 0, parse-fail 25) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 32 min)
d3req_1: n_ok 27/2000 (nd-only 0, parse-fail 1726) distinct_ok 2 first_hit 33 written_hist {8: 2} lean 0s (6s; 2 done, 6s/thm, ETA 32 min)
d3req_2: n_ok 0/2000 (nd-only 0, parse-fail 399) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 3 done, 7s/thm, ETA 32 min)
d3req_3: n_ok 0/2000 (nd-only 0, parse-fail 1815) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 4 done, 7s/thm, ETA 35 min)
d3req_4: n_ok 0/2000 (nd-only 0, parse-fail 1996) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 5 done, 7s/thm, ETA 36 min)
d3req_5: n_ok 0/2000 (nd-only 0, parse-fail 1061) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 6 done, 7s/thm, ETA 36 min)
d3req_6: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 7 done, 7s/thm, ETA 36 min)
d3req_7: n_ok 0/2000 (nd-only 0, parse-fail 1971) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 8 done, 8s/thm, ETA 37 min)
d3req_8: n_ok 3/2000 (nd-only 0, parse-fail 1993) distinct_ok 1 first_hit 438 written_hist {8: 1} lean 0s (8s; 9 done, 8s/thm, ETA 37 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1953) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 10 done, 8s/thm, ETA 37 min)
d3req_10: n_ok 0/2000 (nd-only 0, parse-fail 1956) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 11 done, 8s/thm, ETA 37 min)
d3req_11: n_ok 0/2000 (nd-only 0, parse-fail 1992) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 12 done, 8s/thm, ETA 37 min)
d3req_12: n_ok 0/2000 (nd-only 0, parse-fail 1027) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 13 done, 8s/thm, ETA 37 min)
d3req_13: n_ok 13/2000 (nd-only 0, parse-fail 1947) distinct_ok 1 first_hit 115 written_hist {8: 1} lean 0s (9s; 14 done, 8s/thm, ETA 38 min)
d3req_14: n_ok 0/2000 (nd-only 0, parse-fail 64) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 15 done, 8s/thm, ETA 38 min)
d3req_15: n_ok 0/2000 (nd-only 0, parse-fail 1895) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 8s/thm, ETA 37 min)
d3req_16: n_ok 0/2000 (nd-only 0, parse-fail 164) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 17 done, 8s/thm, ETA 37 min)
d3req_17: n_ok 0/2000 (nd-only 0, parse-fail 1983) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 18 done, 8s/thm, ETA 37 min)
d3req_18: n_ok 0/2000 (nd-only 0, parse-fail 1996) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 19 done, 8s/thm, ETA 38 min)
d3req_19: n_ok 0/2000 (nd-only 0, parse-fail 1500) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 20 done, 8s/thm, ETA 38 min)
d3req_20: n_ok 0/2000 (nd-only 0, parse-fail 1310) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 21 done, 8s/thm, ETA 39 min)
d3req_21: n_ok 0/2000 (nd-only 0, parse-fail 132) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 8s/thm, ETA 38 min)
d3req_22: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 23 done, 8s/thm, ETA 39 min)
d3req_23: n_ok 0/2000 (nd-only 0, parse-fail 1810) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 24 done, 8s/thm, ETA 39 min)
d3req_24: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 25 done, 8s/thm, ETA 38 min)
d3req_25: n_ok 15/2000 (nd-only 0, parse-fail 1979) distinct_ok 1 first_hit 39 written_hist {8: 1} lean 0s (9s; 26 done, 8s/thm, ETA 38 min)
d3req_26: n_ok 0/2000 (nd-only 0, parse-fail 1819) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 27 done, 8s/thm, ETA 39 min)
d3req_27: n_ok 0/2000 (nd-only 0, parse-fail 1990) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 28 done, 8s/thm, ETA 39 min)
d3req_28: n_ok 9/2000 (nd-only 0, parse-fail 1038) distinct_ok 3 first_hit 62 written_hist {8: 3} lean 0s (7s; 29 done, 8s/thm, ETA 38 min)
d3req_29: n_ok 5/2000 (nd-only 0, parse-fail 302) distinct_ok 1 first_hit 680 written_hist {8: 1} lean 0s (8s; 30 done, 8s/thm, ETA 38 min)
d3req_30: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 31 done, 9s/thm, ETA 39 min)
d3req_31: n_ok 0/2000 (nd-only 0, parse-fail 1987) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 32 done, 9s/thm, ETA 39 min)
d3req_32: n_ok 0/2000 (nd-only 0, parse-fail 1985) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 33 done, 9s/thm, ETA 39 min)
d3req_33: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 34 done, 9s/thm, ETA 39 min)
d3req_34: n_ok 633/2000 (nd-only 0, parse-fail 1331) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (9s; 35 done, 9s/thm, ETA 39 min)
d3req_35: n_ok 0/2000 (nd-only 0, parse-fail 6) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 36 done, 9s/thm, ETA 39 min)
d3req_36: n_ok 1/2000 (nd-only 0, parse-fail 882) distinct_ok 1 first_hit 325 written_hist {8: 1} lean 0s (8s; 37 done, 9s/thm, ETA 39 min)
d3req_37: n_ok 1/2000 (nd-only 0, parse-fail 1928) distinct_ok 1 first_hit 420 written_hist {8: 1} lean 0s (10s; 38 done, 9s/thm, ETA 39 min)
d3req_38: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 39 done, 9s/thm, ETA 39 min)
d3req_39: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 40 done, 9s/thm, ETA 38 min)
d3req_40: n_ok 0/2000 (nd-only 0, parse-fail 1839) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 41 done, 9s/thm, ETA 38 min)
d3req_41: n_ok 15/2000 (nd-only 0, parse-fail 1980) distinct_ok 1 first_hit 64 written_hist {7: 1} lean 0s (9s; 42 done, 9s/thm, ETA 38 min)
d3req_42: n_ok 494/2000 (nd-only 0, parse-fail 1467) distinct_ok 1 first_hit 6 written_hist {8: 1} lean 0s (9s; 43 done, 9s/thm, ETA 38 min)
d3req_43: n_ok 8/2000 (nd-only 0, parse-fail 1926) distinct_ok 1 first_hit 138 written_hist {8: 1} lean 0s (10s; 44 done, 9s/thm, ETA 38 min)
d3req_44: n_ok 0/2000 (nd-only 0, parse-fail 22) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 45 done, 9s/thm, ETA 37 min)
d3req_45: n_ok 6/2000 (nd-only 0, parse-fail 1988) distinct_ok 1 first_hit 42 written_hist {8: 1} lean 0s (11s; 46 done, 9s/thm, ETA 38 min)
d3req_46: n_ok 0/2000 (nd-only 0, parse-fail 1991) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 47 done, 9s/thm, ETA 37 min)
d3req_47: n_ok 0/2000 (nd-only 0, parse-fail 1982) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 48 done, 9s/thm, ETA 37 min)
d3req_48: n_ok 6/2000 (nd-only 0, parse-fail 114) distinct_ok 2 first_hit 278 written_hist {8: 2} lean 0s (7s; 49 done, 9s/thm, ETA 37 min)
d3req_49: n_ok 75/2000 (nd-only 0, parse-fail 1457) distinct_ok 1 first_hit 38 written_hist {8: 1} lean 0s (9s; 50 done, 9s/thm, ETA 37 min)
d3req_50: n_ok 230/2000 (nd-only 0, parse-fail 1658) distinct_ok 1 first_hit 12 written_hist {8: 1} lean 0s (7s; 51 done, 9s/thm, ETA 37 min)
d3req_51: n_ok 0/2000 (nd-only 0, parse-fail 1996) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 52 done, 9s/thm, ETA 37 min)
d3req_52: n_ok 0/2000 (nd-only 0, parse-fail 836) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 53 done, 9s/thm, ETA 37 min)
d3req_53: n_ok 0/2000 (nd-only 0, parse-fail 1756) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 54 done, 9s/thm, ETA 36 min)
d3req_54: n_ok 0/2000 (nd-only 0, parse-fail 295) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 55 done, 9s/thm, ETA 36 min)
d3req_55: n_ok 0/2000 (nd-only 0, parse-fail 1903) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 56 done, 9s/thm, ETA 36 min)
d3req_56: n_ok 0/2000 (nd-only 0, parse-fail 49) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 57 done, 9s/thm, ETA 36 min)
d3req_57: n_ok 0/2000 (nd-only 0, parse-fail 23) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 58 done, 9s/thm, ETA 36 min)
d3req_58: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 59 done, 9s/thm, ETA 36 min)
d3req_59: n_ok 437/2000 (nd-only 0, parse-fail 120) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 0s (10s; 60 done, 9s/thm, ETA 36 min)
d3req_60: n_ok 20/2000 (nd-only 0, parse-fail 1969) distinct_ok 2 first_hit 136 written_hist {8: 2} lean 0s (13s; 61 done, 9s/thm, ETA 36 min)
d3req_61: n_ok 0/2000 (nd-only 0, parse-fail 1260) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 62 done, 9s/thm, ETA 36 min)
d3req_62: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 63 done, 9s/thm, ETA 36 min)
d3req_63: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 64 done, 9s/thm, ETA 36 min)
d3req_64: n_ok 401/2000 (nd-only 0, parse-fail 941) distinct_ok 4 first_hit 1 written_hist {8: 4} lean 1s (9s; 65 done, 9s/thm, ETA 36 min)
d3req_65: n_ok 13/2000 (nd-only 0, parse-fail 1895) distinct_ok 1 first_hit 46 written_hist {8: 1} lean 0s (9s; 66 done, 9s/thm, ETA 36 min)
d3req_66: n_ok 23/2000 (nd-only 0, parse-fail 145) distinct_ok 1 first_hit 281 written_hist {8: 1} lean 1s (9s; 67 done, 9s/thm, ETA 36 min)
d3req_67: n_ok 0/2000 (nd-only 0, parse-fail 1823) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 68 done, 9s/thm, ETA 36 min)
d3req_68: n_ok 9/2000 (nd-only 0, parse-fail 496) distinct_ok 2 first_hit 11 written_hist {8: 2} lean 1s (25s; 69 done, 10s/thm, ETA 37 min)
d3req_69: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (24s; 70 done, 10s/thm, ETA 38 min)
d3req_70: n_ok 0/2000 (nd-only 0, parse-fail 398) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 71 done, 10s/thm, ETA 38 min)
d3req_71: n_ok 12/2000 (nd-only 0, parse-fail 1965) distinct_ok 1 first_hit 397 written_hist {8: 1} lean 5s (36s; 72 done, 10s/thm, ETA 39 min)
d3req_72: n_ok 0/2000 (nd-only 0, parse-fail 1997) distinct_ok 0 first_hit None written_hist {} lean 0s (29s; 73 done, 11s/thm, ETA 40 min)
d3req_73: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (26s; 74 done, 11s/thm, ETA 41 min)
d3req_74: n_ok 0/2000 (nd-only 0, parse-fail 889) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 75 done, 11s/thm, ETA 41 min)
d3req_75: n_ok 5/2000 (nd-only 0, parse-fail 408) distinct_ok 3 first_hit 451 written_hist {8: 3} lean 3s (20s; 76 done, 11s/thm, ETA 41 min)
d3req_76: n_ok 0/2000 (nd-only 0, parse-fail 1997) distinct_ok 0 first_hit None written_hist {} lean 0s (29s; 77 done, 11s/thm, ETA 42 min)
d3req_77: n_ok 34/2000 (nd-only 0, parse-fail 1898) distinct_ok 1 first_hit 86 written_hist {8: 1} lean 3s (20s; 78 done, 11s/thm, ETA 42 min)
d3req_78: n_ok 10/2000 (nd-only 0, parse-fail 1906) distinct_ok 1 first_hit 134 written_hist {8: 1} lean 2s (19s; 79 done, 12s/thm, ETA 42 min)
d3req_79: n_ok 6/2000 (nd-only 0, parse-fail 1896) distinct_ok 1 first_hit 697 written_hist {8: 1} lean 2s (17s; 80 done, 12s/thm, ETA 43 min)
d3req_80: n_ok 0/2000 (nd-only 0, parse-fail 1058) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 81 done, 12s/thm, ETA 42 min)
d3req_81: n_ok 8/2000 (nd-only 0, parse-fail 1953) distinct_ok 1 first_hit 459 written_hist {8: 1} lean 2s (22s; 82 done, 12s/thm, ETA 43 min)
d3req_82: n_ok 0/2000 (nd-only 0, parse-fail 1954) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 83 done, 12s/thm, ETA 43 min)
