START 2026-09-23T23:18:26Z until [ -f ckpts/lf/stage1_a1_seq_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/lf/stage1_a1_seq_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_c0_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 140) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 1 done, 9s/thm, ETA 42 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 780) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 2 done, 8s/thm, ETA 41 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 407) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 3 done, 8s/thm, ETA 39 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 1802) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 4 done, 8s/thm, ETA 39 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 794) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 5 done, 8s/thm, ETA 40 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 30) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 6 done, 8s/thm, ETA 40 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1262) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 7 done, 8s/thm, ETA 39 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 23) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 8 done, 8s/thm, ETA 40 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 47) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 9 done, 8s/thm, ETA 40 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 379) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 10 done, 8s/thm, ETA 40 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 144) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 11 done, 8s/thm, ETA 40 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 231) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 12 done, 8s/thm, ETA 39 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 243) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 13 done, 8s/thm, ETA 39 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 625) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 14 done, 8s/thm, ETA 40 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 141) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 15 done, 9s/thm, ETA 45 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 267) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 16 done, 10s/thm, ETA 48 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 419) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 17 done, 11s/thm, ETA 51 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 39) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 18 done, 11s/thm, ETA 52 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 157) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 19 done, 12s/thm, ETA 55 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 328) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 20 done, 12s/thm, ETA 57 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 259) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 21 done, 12s/thm, ETA 57 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 890) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 22 done, 12s/thm, ETA 58 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 344) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 23 done, 13s/thm, ETA 59 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 80) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 24 done, 13s/thm, ETA 60 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 198) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 25 done, 13s/thm, ETA 61 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 27) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 26 done, 13s/thm, ETA 61 min)
targets_reductio_req_26: n_ok 0/2000 (nd-only 0, parse-fail 197) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 27 done, 13s/thm, ETA 59 min)
targets_reductio_req_27: n_ok 0/2000 (nd-only 0, parse-fail 121) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 28 done, 13s/thm, ETA 58 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 606) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 29 done, 13s/thm, ETA 57 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 16) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 30 done, 13s/thm, ETA 57 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 140) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 31 done, 12s/thm, ETA 55 min)
targets_reductio_req_31: n_ok 5/2000 (nd-only 0, parse-fail 251) distinct_ok 1 first_hit 655 written_hist {7: 1} lean 3s (16s; 32 done, 12s/thm, ETA 56 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 782) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 33 done, 12s/thm, ETA 56 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 29) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 34 done, 12s/thm, ETA 55 min)
targets_reductio_req_34: n_ok 0/2000 (nd-only 0, parse-fail 331) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 35 done, 12s/thm, ETA 55 min)
targets_reductio_req_35: n_ok 0/2000 (nd-only 0, parse-fail 1037) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 36 done, 12s/thm, ETA 55 min)
targets_reductio_req_36: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 37 done, 12s/thm, ETA 55 min)
targets_reductio_req_37: n_ok 0/2000 (nd-only 0, parse-fail 49) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 38 done, 12s/thm, ETA 54 min)
targets_reductio_req_38: n_ok 0/2000 (nd-only 0, parse-fail 94) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 39 done, 12s/thm, ETA 54 min)
targets_reductio_req_39: n_ok 0/2000 (nd-only 0, parse-fail 939) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 40 done, 12s/thm, ETA 53 min)
targets_reductio_req_40: n_ok 0/2000 (nd-only 0, parse-fail 83) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 41 done, 12s/thm, ETA 52 min)
targets_reductio_req_41: n_ok 0/2000 (nd-only 0, parse-fail 917) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 42 done, 12s/thm, ETA 52 min)
targets_reductio_req_42: n_ok 0/2000 (nd-only 0, parse-fail 12) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 43 done, 12s/thm, ETA 52 min)
targets_reductio_req_43: n_ok 0/2000 (nd-only 0, parse-fail 421) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 44 done, 12s/thm, ETA 51 min)
targets_reductio_req_44: n_ok 0/2000 (nd-only 0, parse-fail 829) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 45 done, 12s/thm, ETA 50 min)
