START 2026-09-24T21:08:49Z python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a3_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --max_new 400 --out artifacts/kh/cov8f_K8flat_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 1/2000 (nd-only 0, parse-fail 1300) distinct_ok 1 first_hit 1535 written_hist {8: 1} lean 0s (6s; 1 done, 6s/thm, ETA 30 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 711) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 2 done, 5s/thm, ETA 24 min)
targets_reductio_req_2: n_ok 1/2000 (nd-only 0, parse-fail 113) distinct_ok 1 first_hit 1509 written_hist {7: 1} lean 0s (5s; 3 done, 5s/thm, ETA 25 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 1272) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 4 done, 5s/thm, ETA 26 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 628) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 5 done, 5s/thm, ETA 27 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 1106) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 6 done, 5s/thm, ETA 26 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1588) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 7 done, 5s/thm, ETA 26 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 1319) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 8 done, 5s/thm, ETA 26 min)
targets_reductio_req_8: n_ok 11/2000 (nd-only 0, parse-fail 25) distinct_ok 1 first_hit 64 written_hist {8: 1} lean 0s (5s; 9 done, 5s/thm, ETA 26 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 218) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 10 done, 5s/thm, ETA 25 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 728) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 11 done, 5s/thm, ETA 25 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 106) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 12 done, 5s/thm, ETA 25 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 718) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 13 done, 5s/thm, ETA 25 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 54) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 14 done, 5s/thm, ETA 24 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 107) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 15 done, 5s/thm, ETA 24 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 1088) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 5s/thm, ETA 24 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 318) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 17 done, 5s/thm, ETA 24 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 288) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 18 done, 5s/thm, ETA 25 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 484) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 19 done, 5s/thm, ETA 24 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 1048) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 20 done, 5s/thm, ETA 24 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 626) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 21 done, 5s/thm, ETA 25 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1208) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 22 done, 5s/thm, ETA 24 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1728) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 23 done, 5s/thm, ETA 24 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 484) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 24 done, 5s/thm, ETA 24 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 246) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 25 done, 5s/thm, ETA 24 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 104) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 26 done, 5s/thm, ETA 24 min)
targets_reductio_req_26: n_ok 7/2000 (nd-only 0, parse-fail 231) distinct_ok 1 first_hit 308 written_hist {8: 1} lean 0s (4s; 27 done, 5s/thm, ETA 23 min)
targets_reductio_req_27: n_ok 4/2000 (nd-only 0, parse-fail 51) distinct_ok 1 first_hit 116 written_hist {7: 1} lean 0s (4s; 28 done, 5s/thm, ETA 23 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 823) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 29 done, 5s/thm, ETA 23 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 59) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 30 done, 5s/thm, ETA 23 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 761) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 31 done, 5s/thm, ETA 22 min)
