START 2026-09-24T18:33:33Z until [ -f ckpts/kh/stage1_k10_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k10_s0.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/kh/cov_k10_s0_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 180/2000 (nd-only 0, parse-fail 45) distinct_ok 2 first_hit 28 written_hist {8: 1, 9: 1} lean 5s (24s; 1 done, 24s/thm, ETA 119 min)
d3req_1: n_ok 68/2000 (nd-only 0, parse-fail 1832) distinct_ok 4 first_hit 19 written_hist {8: 2, 11: 1, 13: 1} lean 4s (27s; 2 done, 25s/thm, ETA 126 min)
d3req_2: n_ok 1165/2000 (nd-only 0, parse-fail 487) distinct_ok 6 first_hit 1 written_hist {8: 1, 9: 5} lean 2s (19s; 3 done, 23s/thm, ETA 116 min)
d3req_3: n_ok 2/2000 (nd-only 0, parse-fail 1939) distinct_ok 2 first_hit 144 written_hist {8: 1, 9: 1} lean 0s (4s; 4 done, 19s/thm, ETA 92 min)
d3req_4: n_ok 1/2000 (nd-only 0, parse-fail 1973) distinct_ok 1 first_hit 1518 written_hist {9: 1} lean 0s (4s; 5 done, 16s/thm, ETA 77 min)
d3req_5: n_ok 1/2000 (nd-only 0, parse-fail 1662) distinct_ok 1 first_hit 1081 written_hist {8: 1} lean 0s (6s; 6 done, 14s/thm, ETA 69 min)
d3req_6: n_ok 31/2000 (nd-only 0, parse-fail 74) distinct_ok 1 first_hit 88 written_hist {8: 1} lean 3s (12s; 7 done, 14s/thm, ETA 67 min)
d3req_7: n_ok 3/2000 (nd-only 0, parse-fail 1986) distinct_ok 1 first_hit 368 written_hist {8: 1} lean 0s (5s; 8 done, 13s/thm, ETA 61 min)
d3req_8: n_ok 127/2000 (nd-only 0, parse-fail 1863) distinct_ok 2 first_hit 27 written_hist {8: 1, 9: 1} lean 0s (5s; 9 done, 12s/thm, ETA 57 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1843) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 10 done, 11s/thm, ETA 53 min)
d3req_10: n_ok 0/2000 (nd-only 0, parse-fail 1995) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 11 done, 11s/thm, ETA 55 min)
d3req_11: n_ok 0/2000 (nd-only 0, parse-fail 1962) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 12 done, 11s/thm, ETA 52 min)
d3req_12: n_ok 31/2000 (nd-only 0, parse-fail 1941) distinct_ok 2 first_hit 128 written_hist {8: 1, 9: 1} lean 0s (4s; 13 done, 10s/thm, ETA 49 min)
d3req_13: n_ok 1/2000 (nd-only 0, parse-fail 1931) distinct_ok 1 first_hit 1750 written_hist {9: 1} lean 0s (6s; 14 done, 10s/thm, ETA 48 min)
d3req_14: n_ok 655/2000 (nd-only 0, parse-fail 730) distinct_ok 5 first_hit 1 written_hist {8: 1, 9: 4} lean 0s (13s; 15 done, 10s/thm, ETA 48 min)
d3req_15: n_ok 0/2000 (nd-only 0, parse-fail 1906) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 16 done, 10s/thm, ETA 48 min)
d3req_16: n_ok 589/2000 (nd-only 0, parse-fail 376) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (8s; 17 done, 10s/thm, ETA 47 min)
d3req_17: n_ok 2/2000 (nd-only 0, parse-fail 1984) distinct_ok 1 first_hit 1041 written_hist {8: 1} lean 0s (11s; 18 done, 10s/thm, ETA 47 min)
d3req_18: n_ok 0/2000 (nd-only 0, parse-fail 974) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 19 done, 10s/thm, ETA 48 min)
d3req_19: n_ok 224/2000 (nd-only 0, parse-fail 1760) distinct_ok 2 first_hit 9 written_hist {8: 1, 9: 1} lean 0s (12s; 20 done, 10s/thm, ETA 48 min)
d3req_20: n_ok 0/2000 (nd-only 0, parse-fail 1382) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 21 done, 10s/thm, ETA 48 min)
d3req_21: n_ok 4/2000 (nd-only 0, parse-fail 667) distinct_ok 1 first_hit 16 written_hist {9: 1} lean 0s (3s; 22 done, 10s/thm, ETA 46 min)
d3req_22: n_ok 0/2000 (nd-only 0, parse-fail 1944) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 23 done, 10s/thm, ETA 45 min)
d3req_23: n_ok 0/2000 (nd-only 0, parse-fail 1859) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 24 done, 10s/thm, ETA 44 min)
d3req_24: n_ok 11/2000 (nd-only 0, parse-fail 48) distinct_ok 1 first_hit 8 written_hist {8: 1} lean 0s (4s; 25 done, 9s/thm, ETA 43 min)
d3req_25: n_ok 28/2000 (nd-only 0, parse-fail 1518) distinct_ok 3 first_hit 8 written_hist {8: 1, 11: 2} lean 0s (5s; 26 done, 9s/thm, ETA 42 min)
d3req_26: n_ok 0/2000 (nd-only 0, parse-fail 273) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 27 done, 9s/thm, ETA 41 min)
