START 2026-09-24T17:47:54Z until [ -f ckpts/kh/stage1_k14_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k14_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/kh/cov_k14_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 196) distinct_ok 0 first_hit None written_hist {} lean 0s (59s; 1 done, 59s/thm, ETA 295 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 129) distinct_ok 0 first_hit None written_hist {} lean 0s (43s; 2 done, 51s/thm, ETA 254 min)
targets_reductio_req_2: n_ok 13/2000 (nd-only 0, parse-fail 122) distinct_ok 1 first_hit 493 written_hist {7: 1} lean 9s (68s; 3 done, 57s/thm, ETA 281 min)
targets_reductio_req_3: n_ok 1/2000 (nd-only 0, parse-fail 556) distinct_ok 1 first_hit 183 written_hist {8: 1} lean 5s (36s; 4 done, 52s/thm, ETA 254 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1068) distinct_ok 0 first_hit None written_hist {} lean 0s (29s; 5 done, 47s/thm, ETA 232 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 302) distinct_ok 0 first_hit None written_hist {} lean 0s (34s; 6 done, 45s/thm, ETA 220 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1205) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 7 done, 42s/thm, ETA 206 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 695) distinct_ok 0 first_hit None written_hist {} lean 0s (35s; 8 done, 41s/thm, ETA 201 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 53) distinct_ok 0 first_hit None written_hist {} lean 0s (41s; 9 done, 41s/thm, ETA 200 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 247) distinct_ok 0 first_hit None written_hist {} lean 0s (31s; 10 done, 40s/thm, ETA 194 min)
