START 2026-09-24T17:24:57Z until [ -f ckpts/kh/stage1_k8add_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k8add_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/kh/cov_k8add_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 610) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 30 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 318) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 2 done, 6s/thm, ETA 31 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 94) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 3 done, 6s/thm, ETA 28 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 1128) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 4 done, 7s/thm, ETA 36 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1381) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 5 done, 10s/thm, ETA 50 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 665) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 6 done, 13s/thm, ETA 62 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 888) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 7 done, 13s/thm, ETA 66 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 988) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 8 done, 15s/thm, ETA 71 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 67) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 9 done, 15s/thm, ETA 74 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 10 done, 16s/thm, ETA 79 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 200) distinct_ok 0 first_hit None written_hist {} lean 0s (27s; 11 done, 17s/thm, ETA 84 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 385) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 12 done, 17s/thm, ETA 83 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 683) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 13 done, 17s/thm, ETA 81 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (26s; 14 done, 18s/thm, ETA 84 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 150) distinct_ok 0 first_hit None written_hist {} lean 0s (26s; 15 done, 18s/thm, ETA 86 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 281) distinct_ok 0 first_hit None written_hist {} lean 0s (24s; 16 done, 19s/thm, ETA 88 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 416) distinct_ok 0 first_hit None written_hist {} lean 0s (28s; 17 done, 19s/thm, ETA 90 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 224) distinct_ok 0 first_hit None written_hist {} lean 0s (32s; 18 done, 20s/thm, ETA 93 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 160) distinct_ok 0 first_hit None written_hist {} lean 0s (37s; 19 done, 21s/thm, ETA 97 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 653) distinct_ok 0 first_hit None written_hist {} lean 0s (30s; 20 done, 21s/thm, ETA 99 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 229) distinct_ok 0 first_hit None written_hist {} lean 0s (33s; 21 done, 22s/thm, ETA 101 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1441) distinct_ok 0 first_hit None written_hist {} lean 0s (24s; 22 done, 22s/thm, ETA 101 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 283) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 23 done, 22s/thm, ETA 99 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 331) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 24 done, 21s/thm, ETA 98 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 862) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 25 done, 21s/thm, ETA 96 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 66) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 26 done, 21s/thm, ETA 95 min)
targets_reductio_req_26: n_ok 0/2000 (nd-only 0, parse-fail 1120) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 27 done, 21s/thm, ETA 93 min)
targets_reductio_req_27: n_ok 0/2000 (nd-only 0, parse-fail 41) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 28 done, 20s/thm, ETA 92 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 939) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 29 done, 20s/thm, ETA 91 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 67) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 30 done, 20s/thm, ETA 90 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 616) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 31 done, 20s/thm, ETA 88 min)
targets_reductio_req_31: n_ok 3/2000 (nd-only 0, parse-fail 476) distinct_ok 1 first_hit 1087 written_hist {7: 1} lean 5s (18s; 32 done, 20s/thm, ETA 88 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 871) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 33 done, 20s/thm, ETA 87 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 759) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 34 done, 20s/thm, ETA 87 min)
targets_reductio_req_34: n_ok 0/2000 (nd-only 0, parse-fail 1290) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 35 done, 20s/thm, ETA 87 min)
targets_reductio_req_35: n_ok 0/2000 (nd-only 0, parse-fail 1784) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 36 done, 20s/thm, ETA 87 min)
targets_reductio_req_36: n_ok 0/2000 (nd-only 0, parse-fail 38) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 37 done, 20s/thm, ETA 86 min)
targets_reductio_req_37: n_ok 0/2000 (nd-only 0, parse-fail 292) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 38 done, 19s/thm, ETA 85 min)
targets_reductio_req_38: n_ok 0/2000 (nd-only 0, parse-fail 143) distinct_ok 0 first_hit None written_hist {} lean 0s (2s; 39 done, 19s/thm, ETA 83 min)
targets_reductio_req_39: n_ok 0/2000 (nd-only 0, parse-fail 1842) distinct_ok 0 first_hit None written_hist {} lean 0s (2s; 40 done, 19s/thm, ETA 80 min)
