START 2026-09-24T21:22:15Z python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a3_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --max_new 768 --out artifacts/kh/covd8f_K8flat_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 1/2000 (nd-only 0, parse-fail 1300) distinct_ok 1 first_hit 1535 written_hist {8: 1} lean 0s (6s; 1 done, 6s/thm, ETA 29 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 711) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 2 done, 5s/thm, ETA 25 min)
targets_reductio_req_2: n_ok 1/2000 (nd-only 0, parse-fail 113) distinct_ok 1 first_hit 1509 written_hist {7: 1} lean 0s (5s; 3 done, 5s/thm, ETA 25 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 1272) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 4 done, 5s/thm, ETA 24 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 628) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 5 done, 5s/thm, ETA 24 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 1106) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 6 done, 5s/thm, ETA 25 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1588) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 7 done, 6s/thm, ETA 31 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 1319) distinct_ok 0 first_hit None written_hist {} lean 0s (21s; 8 done, 8s/thm, ETA 40 min)
targets_reductio_req_8: n_ok 11/2000 (nd-only 0, parse-fail 25) distinct_ok 1 first_hit 64 written_hist {8: 1} lean 4s (22s; 9 done, 10s/thm, ETA 47 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 218) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 10 done, 11s/thm, ETA 52 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 728) distinct_ok 0 first_hit None written_hist {} lean 0s (36s; 11 done, 13s/thm, ETA 63 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 106) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 12 done, 13s/thm, ETA 64 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 718) distinct_ok 0 first_hit None written_hist {} lean 0s (20s; 13 done, 14s/thm, ETA 66 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 54) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 14 done, 14s/thm, ETA 67 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 107) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 15 done, 14s/thm, ETA 68 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 1088) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 16 done, 14s/thm, ETA 67 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 318) distinct_ok 0 first_hit None written_hist {} lean 0s (3s; 17 done, 13s/thm, ETA 63 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 288) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 18 done, 13s/thm, ETA 60 min)
