START 2026-09-24T21:23:49Z until [ -f ckpts/kh/stage1_k12_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k12_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --max_new 768 --out artifacts/kh/covd_k12_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 543) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 31 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 548) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 2 done, 6s/thm, ETA 31 min)
targets_reductio_req_2: n_ok 106/2000 (nd-only 0, parse-fail 730) distinct_ok 2 first_hit 41 written_hist {7: 1, 8: 1} lean 0s (8s; 3 done, 7s/thm, ETA 34 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 645) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 4 done, 7s/thm, ETA 35 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1608) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 5 done, 7s/thm, ETA 37 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 424) distinct_ok 0 first_hit None written_hist {} lean 0s (38s; 6 done, 13s/thm, ETA 62 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1566) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 7 done, 13s/thm, ETA 64 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 1070) distinct_ok 0 first_hit None written_hist {} lean 0s (49s; 8 done, 18s/thm, ETA 86 min)
targets_reductio_req_8: n_ok 121/2000 (nd-only 0, parse-fail 74) distinct_ok 1 first_hit 18 written_hist {8: 1} lean 9s (35s; 9 done, 20s/thm, ETA 95 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 549) distinct_ok 0 first_hit None written_hist {} lean 0s (28s; 10 done, 20s/thm, ETA 98 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 494) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 11 done, 20s/thm, ETA 96 min)
