START 2026-09-24T20:33:17Z until [ -f ckpts/kh/stage1_k8add_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k8add_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --max_new 768 --out artifacts/kh/covd_k8add_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 1713) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 30 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 210) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 2 done, 6s/thm, ETA 29 min)
targets_reductio_req_2: n_ok 4/2000 (nd-only 0, parse-fail 144) distinct_ok 1 first_hit 257 written_hist {7: 1} lean 0s (6s; 3 done, 6s/thm, ETA 30 min)
targets_reductio_req_3: n_ok 12/2000 (nd-only 0, parse-fail 1124) distinct_ok 1 first_hit 345 written_hist {8: 1} lean 0s (5s; 4 done, 6s/thm, ETA 29 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 458) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 5 done, 8s/thm, ETA 38 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 891) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 6 done, 11s/thm, ETA 52 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 178) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 7 done, 12s/thm, ETA 58 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 365) distinct_ok 0 first_hit None written_hist {} lean 0s (25s; 8 done, 14s/thm, ETA 66 min)
targets_reductio_req_8: n_ok 2/2000 (nd-only 0, parse-fail 39) distinct_ok 1 first_hit 1195 written_hist {8: 1} lean 5s (32s; 9 done, 16s/thm, ETA 76 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 131) distinct_ok 0 first_hit None written_hist {} lean 0s (45s; 10 done, 19s/thm, ETA 89 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 260) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 11 done, 18s/thm, ETA 89 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 250) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 12 done, 17s/thm, ETA 83 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 1803) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 13 done, 16s/thm, ETA 78 min)
targets_reductio_req_13: n_ok 22/2000 (nd-only 0, parse-fail 210) distinct_ok 1 first_hit 45 written_hist {7: 1} lean 0s (6s; 14 done, 16s/thm, ETA 74 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 138) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 15 done, 15s/thm, ETA 71 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 287) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 14s/thm, ETA 69 min)
targets_reductio_req_16: n_ok 9/2000 (nd-only 0, parse-fail 104) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (5s; 17 done, 14s/thm, ETA 66 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 203) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 18 done, 14s/thm, ETA 65 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 146) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 19 done, 13s/thm, ETA 63 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 815) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 20 done, 13s/thm, ETA 61 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 209) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 21 done, 13s/thm, ETA 59 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1514) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 22 done, 12s/thm, ETA 57 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1813) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 23 done, 12s/thm, ETA 55 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 458) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 24 done, 12s/thm, ETA 54 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 704) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 25 done, 11s/thm, ETA 52 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 346) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 26 done, 11s/thm, ETA 51 min)
targets_reductio_req_26: n_ok 1/2000 (nd-only 0, parse-fail 203) distinct_ok 1 first_hit 1899 written_hist {8: 1} lean 0s (5s; 27 done, 11s/thm, ETA 50 min)
targets_reductio_req_27: n_ok 9/2000 (nd-only 0, parse-fail 39) distinct_ok 1 first_hit 198 written_hist {7: 1} lean 0s (5s; 28 done, 11s/thm, ETA 49 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 1522) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 29 done, 11s/thm, ETA 48 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 434) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 30 done, 10s/thm, ETA 47 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 370) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 31 done, 10s/thm, ETA 46 min)
targets_reductio_req_31: n_ok 13/2000 (nd-only 0, parse-fail 281) distinct_ok 1 first_hit 86 written_hist {7: 1} lean 0s (5s; 32 done, 10s/thm, ETA 45 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 312) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 33 done, 10s/thm, ETA 44 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 902) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 34 done, 10s/thm, ETA 43 min)
targets_reductio_req_34: n_ok 0/2000 (nd-only 0, parse-fail 1484) distinct_ok 0 first_hit None written_hist {} lean 0s (18s; 35 done, 10s/thm, ETA 44 min)
targets_reductio_req_35: n_ok 1/2000 (nd-only 0, parse-fail 174) distinct_ok 1 first_hit 1816 written_hist {8: 1} lean 3s (23s; 36 done, 10s/thm, ETA 46 min)
