200/63342 1s
400/63342 2s
600/63342 2s
800/63342 2s
1000/63342 2s
1200/63342 2s
1400/63342 2s
1600/63342 2s
1800/63342 2s
2000/63342 3s
2200/63342 3s
2400/63342 3s
2600/63342 4s
2800/63342 4s
3000/63342 4s
3200/63342 4s
3400/63342 4s
3600/63342 5s
3800/63342 5s
4000/63342 5s
4200/63342 5s
4400/63342 6s
4600/63342 6s
4800/63342 7s
5000/63342 7s
5200/63342 7s
5400/63342 7s
5600/63342 7s
5800/63342 7s
6000/63342 7s
6200/63342 8s
6400/63342 8s
6600/63342 8s
6800/63342 8s
7000/63342 8s
7200/63342 9s
7400/63342 9s
7600/63342 9s
7800/63342 9s
8000/63342 9s
8200/63342 10s
8400/63342 10s
8600/63342 10s
8800/63342 11s
9000/63342 11s
9200/63342 11s
9400/63342 11s
9600/63342 12s
9800/63342 12s
10000/63342 12s
10200/63342 12s
10400/63342 13s
10600/63342 13s
10800/63342 13s
11000/63342 13s
11200/63342 13s
11400/63342 14s
11600/63342 14s
11800/63342 14s
12000/63342 14s
12200/63342 15s
12400/63342 15s
12600/63342 15s
12800/63342 16s
13000/63342 16s
13200/63342 16s
13400/63342 16s
13600/63342 16s
13800/63342 16s
14000/63342 17s
14200/63342 17s
14400/63342 17s
14600/63342 17s
14800/63342 17s
15000/63342 18s
15200/63342 18s
15400/63342 18s
15600/63342 18s
15800/63342 19s
16000/63342 19s
16200/63342 19s
16400/63342 19s
16600/63342 19s
16800/63342 20s
17000/63342 20s
17200/63342 20s
17400/63342 21s
17600/63342 21s
17800/63342 21s
18000/63342 21s
18200/63342 21s
18400/63342 23s
18600/63342 23s
18800/63342 23s
19000/63342 23s
19200/63342 23s
19400/63342 23s
19600/63342 23s
19800/63342 23s
20000/63342 23s
20200/63342 24s
20400/63342 24s
20600/63342 24s
20800/63342 25s
21000/63342 26s
21200/63342 26s
21400/63342 26s
21600/63342 26s
21800/63342 26s
22000/63342 26s
22200/63342 26s
22400/63342 26s
22600/63342 27s
22800/63342 27s
23000/63342 28s
23200/63342 28s
23400/63342 28s
23600/63342 28s
23800/63342 28s
24000/63342 29s
24200/63342 29s
24400/63342 29s
24600/63342 29s
24800/63342 29s
25000/63342 30s
25200/63342 30s
25400/63342 30s
25600/63342 30s
25800/63342 31s
26000/63342 31s
26200/63342 31s
26400/63342 31s
26600/63342 32s
26800/63342 32s
27000/63342 32s
27200/63342 33s
27400/63342 33s
27600/63342 33s
27800/63342 33s
28000/63342 33s
28200/63342 34s
28400/63342 34s
28600/63342 34s
28800/63342 34s
29000/63342 35s
29200/63342 35s
29400/63342 35s
29600/63342 35s
29800/63342 36s
30000/63342 36s
30200/63342 36s
30400/63342 36s
30600/63342 36s
30800/63342 37s
31000/63342 37s
31200/63342 38s
31400/63342 38s
31600/63342 38s
31800/63342 38s
32000/63342 38s
32200/63342 39s
32400/63342 39s
32600/63342 39s
32800/63342 40s
33000/63342 40s
33200/63342 40s
33400/63342 40s
33600/63342 40s
33800/63342 40s
34000/63342 41s
34200/63342 41s
34400/63342 41s
34600/63342 41s
34800/63342 42s
35000/63342 43s
35200/63342 43s
35400/63342 43s
35600/63342 43s
35800/63342 44s
36000/63342 44s
36200/63342 44s
36400/63342 44s
36600/63342 44s
36800/63342 45s
37000/63342 45s
37200/63342 45s
37400/63342 45s
37600/63342 46s
37800/63342 46s
38000/63342 46s
38200/63342 47s
38400/63342 47s
38600/63342 47s
38800/63342 47s
39000/63342 47s
39200/63342 49s
39400/63342 49s
39600/63342 49s
39800/63342 49s
40000/63342 49s
40200/63342 49s
40400/63342 49s
40600/63342 50s
40800/63342 50s
41000/63342 50s
41200/63342 50s
41400/63342 50s
41600/63342 51s
41800/63342 51s
42000/63342 51s
42200/63342 51s
42400/63342 51s
42600/63342 52s
42800/63342 52s
43000/63342 52s
43200/63342 52s
43400/63342 53s
43600/63342 53s
43800/63342 53s
44000/63342 53s
44200/63342 53s
44400/63342 54s
44600/63342 54s
44800/63342 55s
45000/63342 55s
45200/63342 55s
45400/63342 55s
45600/63342 55s
45800/63342 55s
46000/63342 55s
46200/63342 56s
46400/63342 56s
46600/63342 56s
46800/63342 57s
47000/63342 57s
47200/63342 57s
47400/63342 58s
47600/63342 58s
47800/63342 58s
48000/63342 58s
48200/63342 58s
48400/63342 58s
48600/63342 59s
48800/63342 59s
49000/63342 59s
49200/63342 59s
49400/63342 60s
49600/63342 60s
49800/63342 60s
50000/63342 60s
50200/63342 61s
50400/63342 61s
50600/63342 61s
50800/63342 62s
51000/63342 62s
51200/63342 62s
51400/63342 62s
51600/63342 63s
51800/63342 63s
52000/63342 63s
52200/63342 63s
52400/63342 63s
52600/63342 63s
52800/63342 64s
53000/63342 64s
53200/63342 64s
53400/63342 64s
53600/63342 65s
53800/63342 65s
54000/63342 65s
54200/63342 66s
54400/63342 66s
54600/63342 67s
54800/63342 67s
55000/63342 67s
55200/63342 67s
55400/63342 67s
55600/63342 67s
55800/63342 69s
56000/63342 69s
56200/63342 69s
56400/63342 69s
56600/63342 69s
56800/63342 69s
57000/63342 69s
57200/63342 69s
57400/63342 69s
57600/63342 70s
57800/63342 71s
58000/63342 71s
58200/63342 71s
58400/63342 71s
58600/63342 72s
58800/63342 72s
59000/63342 72s
59200/63342 72s
59400/63342 72s
59600/63342 72s
59800/63342 72s
60000/63342 73s
60200/63342 73s
60400/63342 73s
60600/63342 73s
60800/63342 74s
61000/63342 74s
61200/63342 75s
61400/63342 75s
61600/63342 75s
61800/63342 75s
62000/63342 75s
62200/63342 75s
62400/63342 76s
62600/63342 76s
62800/63342 77s
63000/63342 77s
63200/63342 77s
63342 theorems; labelled 60866; timeouts 0; errors 0
min_lines_ub hist {2: 1119, 3: 5164, 4: 8261, 5: 13910, 6: 14563, 7: 12443, 8: 5406}
by generating length: (gen_lines, has <=6 proof) -> {(7, False): 5911, (7, True): 7091, (8, False): 4567, (8, True): 6894, (9, False): 1721, (9, True): 6106, (10, False): 1161, (10, True): 5458, (11, False): 1163, (11, True): 4650, (12, False): 1312, (12, True): 3663, (13, False): 1447, (13, True): 2915, (14, False): 1196, (14, True): 2380, (15, False): 984, (15, True): 2165, (16, False): 863, (16, True): 1695}
