6000 candidates, 0 already labelled, 6000 to do; pattern depth4 forbid () bound 10 time 60.0
100/6000 52s
200/6000 108s
300/6000 167s
400/6000 196s
500/6000 225s
600/6000 274s
700/6000 319s
800/6000 363s
900/6000 403s
1000/6000 449s
1100/6000 493s
1200/6000 537s
1300/6000 574s
1400/6000 639s
1500/6000 705s
1600/6000 758s
1700/6000 810s
1800/6000 863s
1900/6000 916s
2000/6000 945s
2100/6000 970s
2200/6000 1001s
2300/6000 1036s
2400/6000 1076s
2500/6000 1108s
2600/6000 1166s
2700/6000 1197s
2800/6000 1231s
2900/6000 1278s
3000/6000 1322s
3100/6000 1370s
3200/6000 1425s
3300/6000 1467s
3400/6000 1519s
3500/6000 1558s
3600/6000 1621s
3700/6000 1657s
3800/6000 1705s
3900/6000 1742s
4000/6000 1779s
4100/6000 1819s
4200/6000 1877s
4300/6000 1910s
4400/6000 1951s
4500/6000 2004s
4600/6000 2050s
4700/6000 2091s
4800/6000 2136s
4900/6000 2172s
5000/6000 2226s
5100/6000 2263s
5200/6000 2312s
5300/6000 2348s
5400/6000 2409s
5500/6000 2458s
5600/6000 2490s
5700/6000 2540s
5800/6000 2594s
5900/6000 2637s
6000/6000 2716s
{"n": 6000, "reach": 5780, "u_timeout": 0, "r_timeout": 0, "requires": 760, "requires_wide": 760, "oracle_bad": 0, "uses": 2156, "restriction_bad": 0}
min_lines_ub (unrestricted): {'10': 822, '4': 3, '5': 283, '6': 1204, '7': 647, '8': 2295, '9': 526, 'None': 220}
required, by min_lines_ub: {10: 760}
reachable but NOT required, by restricted length: {'10': 290, '4': 3, '5': 283, '6': 1204, '7': 647, '8': 1138, '9': 1455}
