6000 candidates, 0 already labelled, 6000 to do; pattern impi_ore forbid ('ORE_IN_IMPI',) bound 10 time 60.0
100/6000 0s
200/6000 1s
300/6000 2s
400/6000 4s
500/6000 5s
600/6000 5s
700/6000 6s
800/6000 7s
900/6000 8s
1000/6000 9s
1100/6000 10s
1200/6000 11s
1300/6000 12s
1400/6000 13s
1500/6000 14s
1600/6000 15s
1700/6000 16s
1800/6000 17s
1900/6000 17s
2000/6000 18s
2100/6000 19s
2200/6000 20s
2300/6000 21s
2400/6000 22s
2500/6000 23s
2600/6000 24s
2700/6000 25s
2800/6000 26s
2900/6000 28s
3000/6000 28s
3100/6000 29s
3200/6000 30s
3300/6000 30s
3400/6000 32s
3500/6000 33s
3600/6000 34s
3700/6000 35s
3800/6000 36s
3900/6000 37s
4000/6000 37s
4100/6000 38s
4200/6000 39s
4300/6000 40s
4400/6000 40s
4500/6000 41s
4600/6000 42s
4700/6000 43s
4800/6000 43s
4900/6000 44s
5000/6000 44s
5100/6000 45s
5200/6000 45s
5300/6000 46s
5400/6000 47s
5500/6000 48s
5600/6000 49s
5700/6000 50s
5800/6000 50s
5900/6000 51s
6000/6000 53s
{"n": 6000, "reach": 5989, "u_timeout": 0, "r_timeout": 0, "requires": 51, "requires_wide": 51, "oracle_bad": 0, "uses": 181, "restriction_bad": 0}
min_lines_ub (unrestricted): {'10': 29, '2': 11, '3': 79, '4': 791, '5': 1745, '6': 2003, '7': 939, '8': 294, '9': 98, 'None': 11}
required, by min_lines_ub: {6: 4, 7: 11, 8: 15, 9: 8, 10: 13}
reachable but NOT required, by restricted length: {'10': 47, '2': 11, '3': 79, '4': 791, '5': 1745, '6': 1999, '7': 902, '8': 277, '9': 87}
