30000 candidates, 6000 already labelled, 24000 to do; pattern impi_ore forbid ('ORE_IN_IMPI',) bound 10 time 60.0
100/24000 0s
200/24000 1s
300/24000 1s
400/24000 2s
500/24000 3s
600/24000 6s
700/24000 7s
800/24000 8s
900/24000 9s
1000/24000 10s
1100/24000 11s
1200/24000 12s
1300/24000 13s
1400/24000 13s
1500/24000 13s
1600/24000 14s
1700/24000 16s
1800/24000 16s
1900/24000 17s
2000/24000 18s
2100/24000 18s
2200/24000 19s
2300/24000 20s
2400/24000 20s
2500/24000 21s
2600/24000 22s
2700/24000 22s
2800/24000 23s
2900/24000 24s
3000/24000 25s
3100/24000 25s
3200/24000 26s
3300/24000 27s
3400/24000 28s
3500/24000 30s
3600/24000 31s
3700/24000 33s
3800/24000 34s
3900/24000 34s
4000/24000 36s
4100/24000 36s
4200/24000 37s
4300/24000 37s
4400/24000 38s
4500/24000 39s
4600/24000 40s
4700/24000 42s
4800/24000 43s
4900/24000 43s
5000/24000 44s
5100/24000 45s
5200/24000 46s
5300/24000 48s
5400/24000 50s
5500/24000 51s
5600/24000 52s
5700/24000 52s
5800/24000 53s
5900/24000 54s
6000/24000 55s
6100/24000 56s
6200/24000 58s
6300/24000 58s
6400/24000 59s
6500/24000 61s
6600/24000 63s
6700/24000 63s
6800/24000 64s
6900/24000 65s
7000/24000 65s
7100/24000 66s
7200/24000 67s
7300/24000 67s
7400/24000 68s
7500/24000 69s
7600/24000 71s
7700/24000 72s
7800/24000 73s
7900/24000 75s
8000/24000 76s
8100/24000 77s
8200/24000 78s
8300/24000 79s
8400/24000 80s
8500/24000 81s
8600/24000 82s
8700/24000 83s
8800/24000 84s
8900/24000 85s
9000/24000 88s
9100/24000 89s
9200/24000 90s
9300/24000 90s
9400/24000 91s
9500/24000 92s
9600/24000 93s
9700/24000 94s
9800/24000 96s
9900/24000 96s
10000/24000 97s
10100/24000 98s
10200/24000 99s
10300/24000 100s
10400/24000 101s
10500/24000 101s
10600/24000 102s
10700/24000 103s
10800/24000 103s
10900/24000 104s
11000/24000 105s
11100/24000 105s
11200/24000 106s
11300/24000 107s
11400/24000 108s
11500/24000 110s
11600/24000 111s
11700/24000 112s
11800/24000 113s
11900/24000 114s
12000/24000 115s
12100/24000 116s
12200/24000 117s
12300/24000 118s
12400/24000 119s
12500/24000 120s
12600/24000 120s
12700/24000 121s
12800/24000 122s
12900/24000 122s
13000/24000 122s
13100/24000 123s
13200/24000 124s
13300/24000 124s
13400/24000 125s
13500/24000 126s
13600/24000 127s
13700/24000 127s
13800/24000 128s
13900/24000 129s
14000/24000 130s
14100/24000 130s
14200/24000 130s
14300/24000 131s
14400/24000 131s
14500/24000 133s
14600/24000 134s
14700/24000 135s
14800/24000 136s
14900/24000 137s
15000/24000 138s
15100/24000 139s
15200/24000 140s
15300/24000 141s
15400/24000 142s
15500/24000 142s
15600/24000 143s
15700/24000 144s
15800/24000 146s
15900/24000 148s
16000/24000 148s
16100/24000 149s
16200/24000 150s
16300/24000 152s
16400/24000 152s
16500/24000 153s
16600/24000 153s
16700/24000 154s
16800/24000 155s
16900/24000 156s
17000/24000 157s
17100/24000 157s
17200/24000 158s
17300/24000 160s
17400/24000 160s
17500/24000 161s
17600/24000 162s
17700/24000 163s
17800/24000 165s
17900/24000 166s
18000/24000 167s
18100/24000 168s
18200/24000 169s
18300/24000 169s
18400/24000 171s
18500/24000 172s
18600/24000 173s
18700/24000 174s
18800/24000 175s
18900/24000 176s
19000/24000 177s
19100/24000 178s
19200/24000 179s
19300/24000 180s
19400/24000 181s
19500/24000 182s
19600/24000 182s
19700/24000 183s
19800/24000 184s
19900/24000 185s
20000/24000 186s
20100/24000 187s
20200/24000 188s
20300/24000 189s
20400/24000 189s
20500/24000 190s
20600/24000 192s
20700/24000 192s
20800/24000 193s
20900/24000 194s
21000/24000 195s
21100/24000 195s
21200/24000 196s
21300/24000 197s
21400/24000 197s
21500/24000 198s
21600/24000 200s
21700/24000 202s
21800/24000 202s
21900/24000 203s
22000/24000 204s
22100/24000 205s
22200/24000 206s
22300/24000 207s
22400/24000 208s
22500/24000 209s
22600/24000 209s
22700/24000 210s
22800/24000 211s
22900/24000 211s
23000/24000 212s
23100/24000 212s
23200/24000 213s
23300/24000 214s
23400/24000 215s
23500/24000 216s
23600/24000 217s
23700/24000 217s
23800/24000 219s
23900/24000 220s
24000/24000 224s
{"n": 30000, "reach": 29948, "u_timeout": 0, "r_timeout": 0, "requires": 244, "requires_wide": 244, "oracle_bad": 0, "uses": 1002, "restriction_bad": 0}
min_lines_ub (unrestricted): {'10': 172, '2': 51, '3': 421, '4': 3894, '5': 8566, '6': 10099, '7': 4777, '8': 1467, '9': 501, 'None': 52}
required, by min_lines_ub: {5: 1, 6: 11, 7: 48, 8: 78, 9: 43, 10: 63}
reachable but NOT required, by restricted length: {'10': 280, '2': 51, '3': 421, '4': 3894, '5': 8565, '6': 10083, '7': 4568, '8': 1378, '9': 464}
