draw          params    val   held |   hits     rate  tg | EI acq     7/8/9/10 ign viol |  frz | b10k reach/acq EI-only
m3_s0        3210240 0.0825 0.8668 |      0  0.0e+00   0 |      0      0/0/0/0 None    0 |    0 |              /     nan
m3_s1        3210240 0.0827  0.877 |     14  2.3e-05   3 |     32     32/0/0/0   4    0 |    2 |           5/32    0.84
m3_s2        3210240 0.0825 0.8712 |      0  0.0e+00   0 |      0      0/0/0/0 None    0 |    0 |              /     nan
m25_s0      25321472  0.082 0.8926 |   1872  3.1e-03  11 |     45     44/1/0/0   2    0 |    7 |          15/45    0.67
m25_s1      25321472 0.0829 0.8972 |    830  1.4e-03  10 |     52     52/0/0/0   2    0 |    7 |          11/52    0.79
m25_s2      25321472 0.0822 0.9078 |     14  2.3e-05   3 |     40     39/1/0/0   3    0 |    1 |           6/40    0.85
m25B_s0     25321472  0.082 0.9104 |      3  5.0e-06   2 |      0      0/0/0/0 None    0 |    0 |              /     nan
m25B_s1     25321472  0.082 0.8972 |      0  0.0e+00   0 |      0      0/0/0/0 None    0 |    0 |              /     nan
m25B_s2     25321472  0.082 0.9104 |    131  2.2e-04   5 |     48     48/0/0/0   3    0 |    2 |          10/48    0.79
m85_s0      85208064  0.082 0.8988 |     37  6.2e-05   3 |     53     52/1/0/0   2    0 |    2 |           4/53    0.92
m85_s1      85208064 0.0824 0.9134 |     49  8.2e-05   2 |     52     52/0/0/0   2    0 |    2 |           5/52    0.90
m85_s2      85208064 0.0823  0.894 |      6  1.0e-05   3 |      0      0/0/0/0 None    0 |    0 |              /     nan
m85_s3      85208064  0.082 0.8962 |     13  2.2e-05   2 |                 ///          |      |              /     nan
m85_s4      85208064 0.0822 0.9008 |      2  3.3e-06   1 |                 ///          |      |              /     nan
m85_s5      85208064 0.0822 0.8956 |     60  1.0e-04   7 |                 ///          |      |              /     nan
m85_s6      85208064 0.0824 0.9022 |      8  1.3e-05   5 |                 ///          |      |              /     nan
m85B_s0     85208064  0.082  0.916 |      0  0.0e+00   0 |      0      0/0/0/0 None    0 |    0 |              /     nan
m85B_s1     85208064 0.0821 0.9152 |      4  6.7e-06   3 |      0      0/0/0/0 None    0 |    0 |              /     nan
m85B_s2     85208064 0.0821 0.9148 |   1548  2.6e-03  12 |     52     52/0/0/0   2    0 |    7 |          13/52    0.75
r5_s0                              |    113  3.8e-05   6 |     51     51/0/0/0   2    0 |    4 |           6/51    0.88
r5_s1                              |      0  0.0e+00   0 |      0      0/0/0/0 None    0 |    0 |              /     nan
r5_s2                              |      1  3.3e-07   1 |      0      0/0/0/0 None    0 |    0 |              /     nan
