5040 candidates, 0 already labelled, 5040 to do; pattern derived_ore_strict forbid ('ORE_DERIVED',) bound 10 time 60.0
100/5040 25s
200/5040 53s
300/5040 71s
400/5040 93s
500/5040 110s
600/5040 133s
700/5040 162s
800/5040 184s
900/5040 203s
1000/5040 224s
1100/5040 251s
1200/5040 274s
1300/5040 293s
1400/5040 316s
1500/5040 341s
1600/5040 362s
1700/5040 382s
1800/5040 406s
1900/5040 433s
2000/5040 458s
2100/5040 487s
2200/5040 511s
2300/5040 529s
2400/5040 547s
2500/5040 580s
2600/5040 610s
2700/5040 635s
2800/5040 668s
2900/5040 691s
3000/5040 714s
3100/5040 734s
3200/5040 751s
3300/5040 765s
3400/5040 793s
3500/5040 820s
3600/5040 845s
3700/5040 866s
3800/5040 885s
3900/5040 911s
4000/5040 932s
4100/5040 949s
4200/5040 967s
4300/5040 986s
4400/5040 1028s
4500/5040 1047s
4600/5040 1073s
4700/5040 1098s
4800/5040 1119s
4900/5040 1145s
5000/5040 1164s
{"n": 5040, "reach": 4660, "u_timeout": 0, "r_timeout": 0, "requires": 196, "requires_wide": 196, "oracle_bad": 0, "restriction_bad": 0}
min_lines_ub (unrestricted): {'10': 1082, '9': 3578, 'None': 380}
required, by min_lines_ub: {9: 77, 10: 119}
reachable but NOT required, by restricted length: {'10': 963, '9': 3501}
