ei16_reductio_f0.1_s0_ss0 {'raw_records': 6649, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei16_reductio_f0.1_s0_ss1 {'raw_records': 4800, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei16_reductio_f0.1_s1_ss0 {'raw_records': 5039, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei16_reductio_f0.1_s1_ss1 {'raw_records': 4877, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei16_reductio_f0_s0_ss0 {'raw_records': 4740, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei16_reductio_f0_s0_ss1 {'raw_records': 4871, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei8_reductio_f0_s1_ss1 {'raw_records': 3794, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei8_reductio_f0_s2_ss2 {'raw_records': 6415, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei8k64_reductio_f0.1_s0_ss0 {'raw_records': 5048, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei8k64_reductio_f0.1_s1_ss0 {'raw_records': 5281, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei8k64_reductio_f0_s0_ss0 {'raw_records': 4841, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0.001_c8_s0 {'raw_records': 2048, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0.001_c8_s1 {'raw_records': 1817, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0_c8_s2 {'raw_records': 1719, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0_c8_s3 {'raw_records': 381, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0_c8_s4 {'raw_records': 1750, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
ei_dore_f0_c8_s5 {'raw_records': 2073, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0.1_s0_ss0 {'raw_records': 2999, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0.1_s0_ss1 {'raw_records': 3018, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0.1_s1_ss0 {'raw_records': 2963, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0.1_s1_ss1 {'raw_records': 2926, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0_s0_ss0 {'raw_records': 576, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0_s0_ss1 {'raw_records': 573, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0_s1_ss1 {'raw_records': 1, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen16_reductio_f0_s2_ss2 {'raw_records': 76, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen8_reductio_f0_s1_ss1 {'raw_records': 1, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen8_reductio_f0_s2_ss2 {'raw_records': 45, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0.001_c8_s0 {'raw_records': 365, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0.001_c8_s1 {'raw_records': 344, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0_c8_s2 {'raw_records': 212, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0_c8_s3 {'raw_records': 72, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0_c8_s4 {'raw_records': 191, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
frozen_dore_f0_c8_s5 {'raw_records': 412, 'verify_failures': 0, 'records_without_pattern': 0, 'prompt_mismatch': 0}
